
---------- Begin Simulation Statistics ----------
simSeconds                                   0.312002                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::MemRead    161988914     14.04%     92.54% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite     85877916      7.45%     99.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead       102811      0.01%     99.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite        87269      0.01%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total     1153483352                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.848518                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                            28187876                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.024437                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads               2958654857                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites              2004456210                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses      1123978280                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                   1676805                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                   839706                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses           822946                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                  1171583146                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                       838434                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                        1132570492                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                     159111297                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                  20912860                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                          239581582                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                       89684490                       # Number of branches executed (Count)
system.cpu.numStoreInsts                     80470285                       # Number of stores executed (Count)
system.cpu.numRate                           1.815004                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                          104181                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          301829                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                   414059434                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     824295576                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               1.507040                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          1.507040                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.663552                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.663552                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                 1136442961                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                 865609022                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                     1368456                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                     678226                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                   394507796                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                  321823535                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                 491488763                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                       36                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads      234347365                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores     121617910                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads    155062413                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores     86488620                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups               165396260                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted         131679700                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect           6057813                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             85519499                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates              2167514                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                85463913                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999350                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                10611454                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                877                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups         9484893                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits            9477594                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             7299                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          437                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts       588356803                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls        25730514                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts           6056808                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    545830553                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.510168                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.516416                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0       324118280     59.38%     59.38% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1        70799665     12.97%     72.35% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2        21884223      4.01%     76.36% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3        44898728      8.23%     84.59% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4        12518419      2.29%     86.88% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5        10026783      1.84%     88.72% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6         7100131      1.30%     90.02% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7         3651688      0.67%     90.69% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8        50832636      9.31%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total    545830553                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted            414059434                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted              824295576                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                   207435577                       # Number of memory references committed (Count)
system.cpu.commit.loads                     137950703                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                    17153652                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                   78980082                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                     817052                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                   801096026                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls               5401128                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass      4602123      0.56%      0.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu    611651434     74.20%     74.76% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult        60630      0.01%     74.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv         1557      0.00%     74.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd        43058      0.01%     74.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     74.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt           64      0.00%     74.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     74.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     74.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     74.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     74.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     74.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd          472      0.00%     74.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     74.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu       114694      0.01%     74.79% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            6      0.00%     74.79% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt       114694      0.01%     74.80% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc       270880      0.03%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift          387      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     74.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAdd            0      0.00%     74.83% # Class of committed instruction (Count)
