
---------- Begin Simulation Statistics ----------
simSeconds                                   0.332951                       # Number of seconds simulated (Second)
simTicks                                 332950648500                       # Number of ticks simulated (Tick)
finalTick                                332950648500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  14588.58                       # Real time elapsed on the host (Second)
hostTickRate                                 22822685                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1205372                       # Number of bytes of host memory used (Byte)
simInsts                                    685048767                       # Number of instructions simulated (Count)
simOps                                     1324124270                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    46958                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      90764                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        559160982                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1438876278                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       19                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1422333886                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  30586                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            114752021                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         116259960                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           557737312                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.550186                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.809660                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 103844110     18.62%     18.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  73011514     13.09%     31.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  92307534     16.55%     48.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 113104082     20.28%     68.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  85262983     15.29%     83.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  60705707     10.88%     94.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  25780902      4.62%     99.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3634661      0.65%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     85819      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             557737312                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1807208     81.44%     81.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     81.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     81.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     81.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     81.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     81.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     81.44% # attempts to use FU when none available (Count)
